Price,Transport ETF
Ticker,IYT
Date,
2020-06-17,38.69709014892578
2020-06-18,38.58122634887695
2020-06-19,38.020851135253906
2020-06-22,37.975921630859375
2020-06-23,38.47955322265625
2020-06-24,37.259490966796875
2020-06-25,37.71345901489258
2020-06-26,36.921363830566406
2020-06-29,37.933353424072266
2020-06-30,38.45591354370117
2020-07-01,38.34241485595703
2020-07-02,38.69709014892578
2020-07-06,39.34968566894531
2020-07-07,38.89570617675781
2020-07-08,39.056480407714844
2020-07-09,38.311676025390625
2020-07-10,39.009193420410156
2020-07-13,38.9879264831543
2020-07-14,39.673614501953125
2020-07-15,40.782554626464844
2020-07-16,41.014278411865234
2020-07-17,41.49427032470703
2020-07-20,40.834571838378906
2020-07-21,41.10886001586914
2020-07-22,41.05919647216797
2020-07-23,40.93624496459961
2020-07-24,40.76128005981445
2020-07-27,41.141963958740234
2020-07-28,40.60050582885742
2020-07-29,41.5202751159668
2020-07-30,41.48481369018555
2020-07-31,41.8914909362793
2020-08-03,41.917510986328125
2020-08-04,42.17051315307617
2020-08-05,42.7096061706543
2020-08-06,43.26289367675781
2020-08-07,44.28671646118164
2020-08-10,45.47841262817383
2020-08-11,45.603736877441406
2020-08-12,45.81181335449219
2020-08-13,45.573001861572266
2020-08-14,45.90875244140625
2020-08-17,45.86618423461914
2020-08-18,45.46422576904297
2020-08-19,45.591915130615234
2020-08-20,45.61082458496094
2020-08-21,45.85200500488281
2020-08-24,46.71031951904297
2020-08-25,46.62519073486328
2020-08-26,46.589717864990234
2020-08-27,46.925479888916016
2020-08-28,47.48350524902344
2020-08-31,46.85218048095703
2020-09-01,47.43148422241211
2020-09-02,48.034420013427734
2020-09-03,46.826168060302734
2020-09-04,47.0366096496582
2020-09-08,46.462039947509766
2020-09-09,47.1832160949707
2020-09-10,46.911293029785156
2020-09-11,47.31325912475586
2020-09-14,47.779056549072266
2020-09-15,48.11953353881836
2020-09-16,48.53096008300781
2020-09-17,48.5073127746582
2020-09-18,47.89019012451172
2020-09-21,46.693748474121094
2020-09-22,47.057891845703125
2020-09-23,46.5504264831543
2020-09-24,46.59543991088867
2020-09-25,47.26826858520508
2020-09-28,47.96478271484375
2020-09-29,47.391448974609375
2020-09-30,47.12848663330078
2020-10-01,47.043212890625
2020-10-02,47.3748779296875
2020-10-05,48.18036651611328
2020-10-06,47.765769958496094
2020-10-07,49.04035186767578
2020-10-08,49.317543029785156
2020-10-09,49.72028350830078
2020-10-12,49.80794143676758
2020-10-13,49.419403076171875
2020-10-14,49.869537353515625
2020-10-15,50.29834747314453
2020-10-16,49.63972854614258
2020-10-19,49.07588577270508
2020-10-20,49.741600036621094
2020-10-21,49.175392150878906
2020-10-22,49.239356994628906
2020-10-23,49.836368560791016
2020-10-26,48.62101364135742
2020-10-27,47.91739273071289
2020-10-28,45.872859954833984
2020-10-29,46.89157485961914
2020-10-30,46.578861236572266
2020-11-02,46.870262145996094
2020-11-03,48.28934097290039
2020-11-04,47.566768646240234
2020-11-05,48.789222717285156
2020-11-06,48.50019454956055
2020-11-09,49.684749603271484
2020-11-10,50.57789611816406
2020-11-11,50.15620422363281
2020-11-12,49.47626495361328
2020-11-13,50.56367492675781
2020-11-16,51.83588790893555
2020-11-17,52.00645446777344
2020-11-18,51.66057586669922
2020-11-19,51.639251708984375
2020-11-20,51.153587341308594
