Price,Consumer Discretionary ETF
Ticker,XLY
Date,
2020-05-28,118.55400085449219
2020-05-29,118.98513793945312
2020-06-01,120.11567687988281
2020-06-02,121.14083099365234
2020-06-03,123.43067169189453
2020-06-04,122.80790710449219
2020-06-05,125.74927520751953
2020-06-08,127.66542053222656
2020-06-09,126.66899871826172
2020-06-10,125.48098754882812
2020-06-11,118.90847778320312
2020-06-12,120.08692932128906
2020-06-15,121.22703552246094
2020-06-16,123.77559661865234
2020-06-17,123.44983673095703
2020-06-18,122.99952697753906
2020-06-19,122.04141235351562
2020-06-22,123.29558563232422
2020-06-23,124.26551818847656
2020-06-24,121.52861785888672
2020-06-25,121.69188690185547
2020-06-26,118.8397216796875
2020-06-29,121.09648132324219
2020-06-30,122.64259338378906
2020-07-01,123.88140106201172
2020-07-02,124.37115478515625
2020-07-06,127.3193359375
2020-07-07,125.3219223022461
2020-07-08,126.65674591064453
2020-07-09,126.51268768310547
2020-07-10,128.0203857421875
2020-07-13,126.39744567871094
2020-07-14,127.65544891357422
2020-07-15,129.48007202148438
2020-07-16,129.1343536376953
2020-07-17,128.52935791015625
2020-07-20,130.58444213867188
2020-07-21,130.78611755371094
2020-07-22,131.90969848632812
2020-07-23,129.9314422607422
2020-07-24,130.16188049316406
2020-07-27,130.96859741210938
2020-07-28,129.67213439941406
2020-07-29,130.98777770996094
2020-07-30,130.88217163085938
2020-07-31,131.56399536132812
2020-08-03,131.28549194335938
2020-08-04,132.34182739257812
2020-08-05,133.95518493652344
2020-08-06,134.60816955566406
2020-08-07,134.8098602294922
2020-08-10,136.42318725585938
2020-08-11,136.15431213378906
2020-08-12,137.95970153808594
2020-08-13,137.902099609375
2020-08-14,137.8925018310547
2020-08-17,139.66908264160156
2020-08-18,140.53338623046875
2020-08-19,139.87074279785156
2020-08-20,139.6594696044922
2020-08-21,140.3797149658203
2020-08-24,142.51165771484375
2020-08-25,142.982177734375
2020-08-26,144.39385986328125
2020-08-27,143.6160125732422
2020-08-28,144.55709838867188
2020-08-31,144.13458251953125
2020-09-01,145.64230346679688
2020-09-02,147.65896606445312
2020-09-03,142.97262573242188
2020-09-04,141.3208465576172
