Price,Dell Technologies
Ticker,DELL
Date,
2020-12-11,33.54146194458008
2020-12-14,33.911338806152344
2020-12-15,34.5246696472168
2020-12-16,34.58553695678711
2020-12-17,34.978816986083984
2020-12-18,34.140750885009766
2020-12-21,34.206302642822266
2020-12-22,34.05178451538086
2020-12-23,34.36548614501953
2020-12-24,34.17352294921875
2020-12-28,34.10797882080078
2020-12-29,33.47591781616211
2020-12-30,33.94411087036133
2020-12-31,34.31398391723633
2021-01-04,33.93943405151367
2021-01-05,34.39356994628906
2021-01-06,34.67917251586914
2021-01-07,35.74198532104492
2021-01-08,36.15399169921875
2021-01-11,35.40956115722656
2021-01-12,35.93394088745117
2021-01-13,33.34950256347656
2021-01-14,34.295265197753906
2021-01-15,34.76813507080078
2021-01-19,35.049049377441406
2021-01-20,36.07438659667969
2021-01-21,36.00416946411133
2021-01-22,35.5546989440918
2021-01-25,35.4329719543457
2021-01-26,35.60151672363281
2021-01-27,34.58085632324219
2021-01-28,34.60894775390625
2021-01-29,34.126705169677734
2021-02-01,34.62299346923828
2021-02-02,36.13058090209961
2021-02-03,36.40212631225586
2021-02-04,37.132511138916016
2021-02-05,37.27297592163086
2021-02-08,37.4274787902832
2021-02-09,37.263614654541016
2021-02-10,37.25893020629883
2021-02-11,37.221473693847656
2021-02-12,37.478981018066406
2021-02-16,37.19338607788086
2021-02-17,37.109107971191406
2021-02-18,37.310428619384766
2021-02-19,37.816078186035156
2021-02-22,37.816078186035156
2021-02-23,37.7177619934082
2021-02-24,38.24681854248047
2021-02-25,37.30574035644531
2021-02-26,37.95654296875
2021-03-01,38.90229034423828
2021-03-02,38.72437286376953
2021-03-03,39.14106750488281
2021-03-04,38.76651382446289
2021-03-05,39.960411071777344
2021-03-08,39.848045349121094
2021-03-09,40.49414825439453
2021-03-10,41.051300048828125
2021-03-11,41.49140548706055
2021-03-12,41.58504867553711
2021-03-15,41.80978012084961
2021-03-16,41.70677185058594
2021-03-17,42.73680114746094
2021-03-18,41.252628326416016
2021-03-19,41.02789306640625
2021-03-22,40.89679718017578
2021-03-23,40.14768600463867
2021-03-24,40.4286003112793
2021-03-25,40.26005935668945
2021-03-26,41.66464614868164
2021-03-29,41.2994499206543
2021-03-30,41.47736358642578
