Price,Boeing,Steel ETF,Crude Oil,Aerospace ETF,Industrial ETF,10Y Yield,Volatility Index,USD Index,Transport ETF,Airline ETF
Ticker,BA,SLX,CL=F,ITA,XLI,^TNX,^VIX,DX-Y.NYB,IYT,JETS
Date,,,,,,,,,,
2020-04-27,128.67999267578125,18.79104995727539,12.779999732971191,72.06373596191406,58.16798400878906,0.656000018119812,33.290000915527344,100.04000091552734,35.11069107055664,13.315399169921875
2020-04-28,131.3000030517578,19.1264591217041,12.34000015258789,73.43763732910156,59.25575637817383,0.6100000143051147,33.56999969482422,99.87000274658203,35.43375015258789,14.328204154968262
2020-04-29,139.0,20.623525619506836,15.0600004196167,75.97079467773438,60.38962173461914,0.6269999742507935,31.229999542236328,99.56999969482422,36.4075927734375,15.519739151000977
2020-04-30,141.02000427246094,19.453689575195312,18.84000015258789,74.30583953857422,59.19123077392578,0.621999979019165,34.150001525878906,99.0199966430664,35.351219177246094,15.082842826843262
2020-05-01,133.3699951171875,18.80741310119629,19.780000686645508,71.75362396240234,57.402862548828125,0.6420000195503235,37.189998626708984,98.80000305175781,34.13920211791992,13.99060344696045
2020-05-04,131.4600067138672,19.00374984741211,20.389999389648438,70.33679962158203,56.67461395263672,0.6370000243186951,35.970001220703125,99.4800033569336,33.32568359375,13.384905815124512
2020-05-05,125.4000015258789,18.81559181213379,24.559999465942383,70.34154510498047,56.895851135253906,0.6570000052452087,33.61000061035156,99.70999908447266,33.60393524169922,13.017515182495117
2020-05-06,121.86000061035156,18.602895736694336,23.989999771118164,68.9008560180664,56.1122932434082,0.7110000252723694,34.119998931884766,100.08999633789062,33.1252555847168,12.62033748626709
2020-05-07,128.64999389648438,19.1264591217041,23.549999237060547,69.67367553710938,56.76679611206055,0.6309999823570251,31.440000534057617,99.88999938964844,33.653446197509766,12.709702491760254
2020-05-08,133.44000244140625,19.96088981628418,24.739999771118164,72.39765930175781,58.17720413208008,0.6819999814033508,27.979999542236328,99.7300033569336,34.8065185546875,13.543777465820312
2020-05-11,128.91000366210938,19.00374984741211,24.139999389648438,71.3529052734375,57.44895553588867,0.7260000109672546,27.56999969482422,100.23999786376953,34.400936126708984,13.15652847290039
2020-05-12,125.22000122070312,18.570173263549805,25.780000686645508,69.6784439086914,55.835731506347656,0.6779999732971191,33.040000915527344,99.93000030517578,33.420005798339844,12.590550422668457
2020-05-13,121.5,17.964799880981445,25.290000915527344,67.59848022460938,54.43455123901367,0.6489999890327454,35.279998779296875,100.23999786376953,32.689022064208984,12.064288139343262
2020-05-14,122.5199966430664,18.226581573486328,27.559999465942383,67.32179260253906,55.006080627441406,0.6190000176429749,32.61000061035156,100.47000122070312,32.83757400512695,12.064288139343262
2020-05-15,120.0,18.382017135620117,29.43000030517578,67.1214370727539,54.8125,0.6399999856948853,31.889999389648438,100.4000015258789,32.43672561645508,11.915346145629883
2020-05-18,135.44000244140625,19.829998016357422,31.81999969482422,72.21638488769531,58.42610168457031,0.7440000176429749,29.299999237060547,99.66999816894531,34.787662506103516,13.295541763305664
2020-05-19,130.44000244140625,19.633665084838867,32.5,71.14777374267578,57.67940902709961,0.7110000252723694,30.530000686645508,99.37000274658203,34.417442321777344,13.11681079864502
2020-05-20,133.32000732421875,19.98543357849121,33.4900016784668,71.5914306640625,58.75796890258789,0.6800000071525574,27.989999771118164,99.12000274658203,35.4691047668457,13.593424797058105
2020-05-21,139.0,19.838178634643555,33.91999816894531,73.15138244628906,58.896236419677734,0.6769999861717224,29.530000686645508,99.37000274658203,35.353572845458984,13.821802139282227
2020-05-22,137.52999877929688,19.71546745300293,33.25,72.99397277832031,58.85015869140625,0.6570000052452087,28.15999984741211,99.86000061035156,35.440818786621094,13.603354454040527
2020-05-26,144.72999572753906,20.451732635498047,34.349998474121094,75.97079467773438,61.32067108154297,0.6980000138282776,28.010000228881836,98.91000366210938,37.21875,15.201996803283691
2020-05-27,149.52000427246094,21.457956314086914,32.810001373291016,79.75858306884766,63.36716079711914,0.6800000071525574,27.6200008392334,99.05999755859375,38.28456497192383,15.877199172973633
2020-05-28,149.82000732421875,21.098007202148438,33.709999084472656,79.4341812133789,62.76795959472656,0.7049999833106995,28.59000015258789,98.37999725341797,37.70686340332031,15.23178482055664
2020-05-29,145.85000610351562,21.31070327758789,35.4900016784668,78.4991683959961,62.38079833984375,0.6480000019073486,27.510000228881836,98.33999633789062,37.57481002807617,14.983548164367676
2020-06-01,151.38999938964844,21.670654296875,35.439998626708984,79.31970977783203,62.51905822753906,0.6620000004768372,28.229999542236328,97.83000183105469,37.54888153076172,15.559457778930664
2020-06-02,153.30999755859375,22.35783576965332,36.810001373291016,79.49620819091797,63.33028793334961,0.6800000071525574,26.84000015258789,97.66999816894531,38.26571273803711,15.897058486938477
