Price,Steel ETF
Ticker,SLX
Date,
2021-02-19,41.270015716552734
2021-02-22,41.928409576416016
2021-02-23,42.16175842285156
2021-02-24,43.220176696777344
2021-02-25,41.68671798706055
2021-02-26,40.46162033081055
2021-03-01,42.22842788696289
2021-03-02,42.72846984863281
2021-03-03,43.236846923828125
2021-03-04,41.545040130615234
2021-03-05,43.20351028442383
2021-03-08,43.820228576660156
2021-03-09,43.72021484375
2021-03-10,43.87856674194336
2021-03-11,45.4370231628418
2021-03-12,45.42869186401367
2021-03-15,44.836971282958984
2021-03-16,44.45361328125
2021-03-17,44.928646087646484
2021-03-18,44.161922454833984
2021-03-19,44.17025375366211
2021-03-22,43.68688201904297
2021-03-23,41.953407287597656
2021-03-24,42.44511413574219
2021-03-25,42.9201545715332
2021-03-26,45.27034378051758
2021-03-29,44.953651428222656
2021-03-30,45.72038269042969
