Price,Aerospace ETF
Ticker,ITA
Date,
2020-04-09,74.17707061767578
2020-04-13,71.85858154296875
2020-04-14,73.06073760986328
2020-04-15,71.53898620605469
2020-04-16,70.44650268554688
2020-04-17,75.16934967041016
2020-04-20,72.8365249633789
2020-04-21,70.3463134765625
2020-04-22,71.09529113769531
2020-04-23,71.33859252929688
2020-04-24,70.91878509521484
2020-04-27,72.06373596191406
2020-04-28,73.43763732910156
2020-04-29,75.97079467773438
2020-04-30,74.30583953857422
2020-05-01,71.75362396240234
2020-05-04,70.33679962158203
2020-05-05,70.34154510498047
2020-05-06,68.9008560180664
2020-05-07,69.67367553710938
2020-05-08,72.39765930175781
2020-05-11,71.3529052734375
2020-05-12,69.6784439086914
2020-05-13,67.59848022460938
2020-05-14,67.32179260253906
2020-05-15,67.1214370727539
2020-05-18,72.21638488769531
2020-05-19,71.14777374267578
2020-05-20,71.5914306640625
2020-05-21,73.15138244628906
2020-05-22,72.99397277832031
2020-05-26,75.97079467773438
2020-05-27,79.75858306884766
2020-05-28,79.4341812133789
2020-05-29,78.4991683959961
2020-06-01,79.31970977783203
2020-06-02,79.49620819091797
2020-06-03,83.722900390625
2020-06-04,85.0920181274414
2020-06-05,89.14700317382812
2020-06-08,92.47205352783203
2020-06-09,89.29010772705078
2020-06-10,86.3848648071289
2020-06-11,79.10025024414062
2020-06-12,81.59046173095703
2020-06-15,82.27816009521484
2020-06-16,83.85150909423828
2020-06-17,82.74681091308594
2020-06-18,82.37380981445312
2020-06-19,80.63307189941406
2020-06-22,81.16869354248047
2020-06-23,80.38438415527344
2020-06-24,76.85511779785156
2020-06-25,77.127685546875
2020-06-26,75.65476989746094
2020-06-29,79.97791290283203
2020-06-30,78.77278137207031
2020-07-01,78.04110717773438
2020-07-02,78.23238372802734
2020-07-06,79.58576202392578
2020-07-07,76.66860961914062
2020-07-08,76.826416015625
2020-07-09,73.94274139404297
2020-07-10,75.60218811035156
2020-07-13,75.10482788085938
2020-07-14,76.32905578613281
2020-07-15,78.99754333496094
2020-07-16,78.17498016357422
2020-07-17,78.28020477294922
2020-07-20,77.35726165771484
2020-07-21,78.89234924316406
2020-07-22,79.96834564208984
2020-07-23,79.20318603515625
2020-07-24,78.06501770019531
2020-07-27,77.01770782470703
2020-07-28,77.27117156982422
2020-07-29,76.64469146728516
2020-07-30,75.80780029296875
2020-07-31,74.93744659423828
2020-08-03,75.98953247070312
2020-08-04,76.60643768310547
2020-08-05,79.26537322998047
2020-08-06,78.83975982666016
2020-08-07,79.34188842773438
2020-08-10,81.88601684570312
2020-08-11,82.32120513916016
2020-08-12,81.73777770996094
2020-08-13,81.27388000488281
2020-08-14,82.05819702148438
2020-08-17,80.60916137695312
2020-08-18,79.71009826660156
2020-08-19,79.69575500488281
2020-08-20,79.1075439453125
2020-08-21,78.48583984375
2020-08-24,81.00608825683594
2020-08-25,80.39873504638672
2020-08-26,79.6766357421875
2020-08-27,80.37482452392578
2020-08-28,81.01565551757812
2020-08-31,79.8870620727539
2020-09-01,79.99225616455078
2020-09-02,81.52735900878906
2020-09-03,79.7531509399414
2020-09-04,79.69097900390625
2020-09-08,77.5389633178711
2020-09-09,77.6728744506836
2020-09-10,76.53469848632812
2020-09-11,77.95024871826172
2020-09-14,79.31318664550781
2020-09-15,78.74409484863281
2020-09-16,80.18354034423828
2020-09-17,80.38917541503906
2020-09-18,79.16971588134766
2020-09-21,76.35774993896484
2020-09-22,77.11334228515625
2020-09-23,75.12753295898438
2020-09-24,74.4323501586914
2020-09-25,75.96175384521484
2020-09-28,77.58223724365234
2020-09-29,76.64254760742188
2020-09-30,75.94735717773438
2020-10-01,76.32133483886719
2020-10-02,77.13157653808594
2020-10-05,77.75484466552734
2020-10-06,76.32133483886719
2020-10-07,77.99454498291016
2020-10-08,79.31780242919922
2020-10-09,78.74726104736328
2020-10-12,79.03014373779297
2020-10-13,77.99454498291016
2020-10-14,78.42604064941406
2020-10-15,78.79042053222656
2020-10-16,79.37530517578125
2020-10-19,78.80001068115234
2020-10-20,78.30619049072266
2020-10-21,77.08841705322266
2020-10-22,78.6321792602539
2020-10-23,79.03014373779297
2020-10-26,76.91583251953125
2020-10-27,74.49946594238281
2020-10-28,71.651611328125
2020-10-29,72.52898406982422
2020-10-30,72.40912628173828
2020-11-02,74.25496673583984
2020-11-03,76.61856079101562
2020-11-04,76.58500671386719
2020-11-05,77.47196197509766
2020-11-06,77.41443634033203
2020-11-09,82.79370880126953
2020-11-10,85.55525207519531
2020-11-11,84.02587127685547
2020-11-12,82.97589874267578
2020-11-13,85.69429016113281
2020-11-16,88.12023162841797
2020-11-17,88.7674789428711
2020-11-18,88.50379180908203
2020-11-19,88.94004821777344
2020-11-20,87.31958770751953
2020-11-23,89.62086486816406
2020-11-24,91.84064483642578
2020-11-25,91.27008819580078
2020-11-27,90.7715072631836
2020-11-30,88.60445404052734
2020-12-01,89.26129150390625
2020-12-02,90.1098861694336
2020-12-03,91.61051940917969
2020-12-04,92.62691497802734
2020-12-07,92.52145385742188
2020-12-08,92.95295715332031
2020-12-09,92.4543228149414
2020-12-10,92.18585205078125
2020-12-11,92.27214050292969
2020-12-14,90.9105453491211
2020-12-15,91.71770477294922
2020-12-16,90.61268615722656
2020-12-17,90.17064666748047
2020-12-18,90.51657104492188
2020-12-21,89.83434295654297
2020-12-22,89.54608154296875
2020-12-23,91.10272979736328
2020-12-24,90.5069808959961
2020-12-28,90.6511001586914
2020-12-29,90.2090835571289
2020-12-30,91.05469512939453
2020-12-31,91.01625061035156
2021-01-04,87.26874542236328
2021-01-05,89.25780487060547
2021-01-06,90.17064666748047
2021-01-07,89.99771881103516
2021-01-08,89.6709976196289
2021-01-11,89.71903991699219
2021-01-12,91.24685668945312
2021-01-13,90.920166015625
2021-01-14,92.48640441894531
2021-01-15,90.61268615722656
2021-01-19,91.5255126953125
